time,joint0,joint1,joint2,joint3,joint4,joint5,endpos_x,endpos_y,endpos_z,target_x,target_y,target_z
0.01,-1.5393840734641018,-1.5393840734641018,1.6022159265358982,-1.591434063937835,-1.5557938911223044,0.03076210407397581,0.4957653403216206,0.15114529644726277,0.4590585412204392,0.49748569014882166,0.29997630402759273,0.3
0.02,-1.501684961621024,-1.501684961621024,1.6236283169987182,-1.6291331757809129,-1.5576623681240753,0.06838451760575023,0.5013137437945063,0.170338900945925,0.4331564760179641,0.49497287929784667,0.2999052383213678,0.3
0.03,-1.463985849777946,-1.463985849777946,1.6182141342271128,-1.6668322876239907,-1.5595898490385607,0.10608362944882774,0.5092641708146347,0.1904976166780977,0.41971949676927545,0.49246086228750674,0.2997868141014,0.3
0.04,-1.4262867379348683,-1.4262867379348683,1.6127650474132798,-1.7045313994670686,-1.5615417028652476,0.14378274129190524,0.5159270930496661,0.21142641022544922,0.4057649621595848,0.4899500357944081,0.2996210500682467,0.3
0.05,-1.3885876260917904,-1.397326133362808,1.6156849542054235,-1.7422305113101464,-1.563522508140297,0.18148185313498275,0.5177083241564119,0.23238415486964475,0.39212540411627,0.4874407963071604,0.29940797239797023,0.3
0.060000000000000005,-1.3508885142487126,-1.3818894657929492,1.631774808560506,-1.7799296231532242,-1.5655182769775116,0.21918096497806025,0.5127534241585845,0.25245949833345593,0.37951082831623,0.4849335400637667,0.2991476147380048,0.3
0.07,-1.3131894024056348,-1.3686492821392313,1.6500506033604823,-1.817628734996302,-1.5675316483406734,0.2568800768211378,0.5057465713040215,0.27215453179926086,0.36709089271042467,0.4824286629890529,0.298840018201843,0.3
0.08,-1.275490290562557,-1.3573177533873038,1.6702480470648722,-1.85532784683938,-1.5695593663615222,0.2945791886642153,0.49684337705649684,0.2913322039581591,0.35487694894972044,0.4799265606321465,0.29848523136254373,0.3
0.09,-1.2495286964037537,-1.3512759721307965,1.6958946406592363,-1.8930269586824577,-1.5710291181684006,0.32126993367108997,0.48831843681256315,0.3037119818745392,0.34315488636548963,0.47742762810401496,0.2980833102450618,0.3
0.09999999999999999,-1.2498734508583071,-1.354253276393941,1.730852907571093,-1.9307260705255356,-1.5709707559921364,0.32092475599803566,0.4836046361262547,0.3019480349070718,0.3322594174098341,0.47493226001507305,0.2976343183174008,0.3
0.10999999999999999,-1.2502871839301783,-1.3561099911406302,1.7647414706150515,-1.9684251823686134,-1.570912008687424,0.3205100748917521,0.47898200577464234,0.3001781566035323,0.3213864894713799,0.47244085041286926,0.297138326480591,0.3
0.11999999999999998,-1.2507763456549594,-1.356908631785093,1.7976372935916916,-2.0061242942116913,-1.5708538855908625,0.3200203514017379,0.4744274545240344,0.298391869148732,0.31055030294693703,0.46995379271986104,0.29659541305749315,0.3
0.12999999999999998,-1.2513328553112917,-1.3568789937364192,1.8290496625397938,-2.04295837943514,-1.5707968105988201,0.31946362973667697,0.46995918343614906,0.29660082693923406,0.3000223884252487,0.46747147967128905,0.29600566378043036,0.3
0.13999999999999999,-1.2509301373583688,-1.36226501179762,1.8358775022239673,-2.0444088172211945,-1.5707963267949032,0.31986618943653555,0.4674714796714056,0.2960056637805358,0.30000000000010124,0.4649943032531595,0.29536917177765026,0.3
0.15,-1.250603143883534,-1.3677094780491001,1.8426779346822517,-2.045764783428002,-1.5707963267949028,0.3201931829113695,0.46499430325326757,0.29536917177774946,0.3000000000000951,0.4625226546403452,0.2946860375586184,0.3
0.16,-1.250359553105508,-1.3732052286195418,1.8495074617647036,-2.0470985599400104,-1.5707963267949034,0.3204367736893964,0.46252265464045705,0.2946860375587219,0.3000000000000996,0.46005692413481436,0.293956368998147,0.3
0.17,-1.2502005862997374,-1.3787523043304888,1.8563650384974684,-2.0484090609618266,-1.5707963267949034,0.3205957404951672,0.4600569241349287,0.2939563689982545,0.30000000000010335,0.45759750110399744,0.2931802813193606,0.3
0.18000000000000002,-1.2501274892405982,-1.3843507408287874,1.8632495995043394,-2.0496951854703975,-1.570796326794904,0.320668837554307,0.4575975011041148,0.293180281319472,0.3000000000001072,0.45514477391930164,0.2923578970755001,0.3
0.19000000000000003,-1.2501415326515712,-1.3900005682280554,1.8701600588482001,-2.050955817414989,-1.5707963267949043,0.32065479414333437,0.4551447739194214,0.2923578970756153,0.30000000000011073,0.45269912989478217,0.29148934613057115,0.3
0.20000000000000004,-1.2502440126477996,-1.3957018107155055,1.8770953098661405,-2.0521898259454776,-1.5707963267949043,0.32055231414710633,0.45269912989490385,0.2914893461306898,0.30000000000011373,0.4502609552259814,0.29057476563883644,0.3
0.21000000000000005,-1.250436251169489,-1.4014544861220013,1.8840542249985037,-2.053396065671344,-1.5707963267949048,0.32036007562541713,0.4502609552261045,0.2905747656389581,0.30000000000011673,0.4478306349289438,0.2896143000231579,0.3
0.22000000000000006,-1.2507195964044715,-1.407258605453054,1.8910356556120689,-2.0545733769538552,-1.5707963267949052,0.3200767303904355,0.4478306349290683,0.28961430002328253,0.3000000000001195,0.4454085527794174,0.2886081009521902,0.3
0.23000000000000007,-1.2510954231980922,-1.4131141723783733,1.8980384318176151,-2.055720586234081,-1.5707963267949054,0.31970090359681486,0.4454085527795429,0.2886081009523175,0.300000000000122,0.44299509125225117,0.28755632731643094,0.3
0.24000000000000007,-1.2515651334484352,-1.4190211826774608,1.9050613622821915,-2.0568365063995695,-1.5707963267949057,0.3192311933464723,0.44299509125237724,0.28755632731656083,0.30000000000012417,0.44059063146099814,0.2864591452031297,0.3
